date,pipe_31,pipe_15,pipe_11,pipe_32,pipe_25,pipe_00,pipe_02,pipe_01,pipe_105,pipe_300
1/1/2017,NA,NA,NA,1190.61898,NA,300.3576,1420.99682,NA,638.0202966,710.4401114
1/2/2017,NA,NA,NA,1191.5068,NA,301,1420.591062,NA,638.9570248,715.2667598
1/3/2017,NA,NA,NA,1189.153956,NA,301,1420.011589,NA,639.7793273,719.0601819
1/4/2017,432.9303571,260.3434434,775.3863432,1188.004975,NA,301.0604444,1419.228521,NA,640,723.8029248
1/5/2017,432.3188811,792.9400697,799.0069881,1186.815264,NA,297.8879004,1418.091818,NA,640.6283186,727.9267271
1/6/2017,431.9257183,773.7991632,823.2161785,1190.232673,NA,359.306314,1417.112834,NA,641.1140203,731.3484321
1/7/2017,431.075,740.6418673,844.9487179,1188.948754,NA,447.2588556,1417,NA,641.9756915,736.8067227
1/8/2017,430.8437936,710.9714485,863.8990251,1191.193754,NA,543.9114391,1416.600365,NA,642.8421053,740.0076602
1/9/2017,430.394534,691.0748775,892.7180926,1191.95082,NA,643.1457529,1415.376648,NA,643.2324324,740.2527933
1/10/2017,430.0223776,668.8343816,913.7019635,1192.673132,NA,737.7087814,1414.271691,NA,641.8176265,742.3076384
1/11/2017,430.0027972,650.8675958,933.5621508,1192.149492,NA,836,1414,NA,645.0376532,746.0938375
1/12/2017,429.8237269,634.3372352,954.6731953,1189.195888,NA,928.2288871,1413.604305,NA,645.9465154,749.0027964
1/13/2017,429.6717924,616.3155375,974.667628,1189.161628,NA,1045.04491,1413,NA,647.0169766,753.0619597
1/14/2017,429.0694847,602.4654974,990.4091171,1189.090588,NA,1116.349545,1413,NA,647.9527433,757.6149211
1/15/2017,428.9901366,569.2968278,994.5567322,1189.583086,NA,NA,NA,NA,NA,761.233711
1/16/2017,428.5076816,514.7888502,970.2581792,1189.946046,NA,NA,NA,NA,NA,768.318118
1/17/2017,428.0254176,358.7714078,1018.449855,1196.274909,NA,1312.618026,1412.761702,NA,650.9012346,772.9986004
1/18/2017,427.9960027,624.5625832,1004.78,1194.25513,NA,1341.810795,1412.403101,NA,651.1046972,777.5082183
1/19/2017,427.7260083,532.3662953,1017.928017,1192.09666,NA,1386.031091,1412,NA,651.9648241,781.620979
1/20/2017,427.0544313,423.1059233,1064.113287,1191.602273,NA,1423.623964,1411.664804,NA,652.7417582,785.8443824
1/21/2017,426.8889711,321.0331858,1004.410979,1131.463501,1413.05,1454.88868,1410.761084,66,653.1064615,788.3622378
1/22/2017,426,18.21898822,1030.794138,1219.76787,1399.957386,1533.8355,1410,66,654.0528217,793.5167131
1/23/2017,426.0007289,575.8299419,1072.951166,1218.553546,1391.588193,1669.902542,1410,NA,654.9683767,798.6321758
1/24/2017,426,435.7054318,1071.08374,1214.854896,1386.18074,1587.960674,1409.995713,NA,655.9196592,805.4559441
1/25/2017,425.940309,329.7023061,1073.393833,1211.252708,1382.081006,715.8188045,1409.961609,NA,656.6913203,812.8635409
1/26/2017,425.4104478,182.5511869,1096.631379,1207.614894,1377.923238,313.0495238,1409.354282,NA,657.484327,818.9972008
1/27/2017,425,69.0376569,1156.618283,1204.894512,1385.099093,311.0311915,1409,66,658.0605327,824.4442897
1/28/2017,424.9188244,6.444986072,1108.929812,1200.171203,1363.647759,309.9933131,1409.019953,NA,659.0023135,832.2057183
1/29/2017,424.4665738,1.418815331,1157.069209,1196.643009,1388.145049,308.970403,1409.112642,NA,659.951526,839.6110335
1/30/2017,424.008316,6.826147427,1190.859028,1197.488087,1407.304288,309.4568869,1408.279576,66,660.3349673,842.8906574
1/31/2017,423.9607843,46.93707713,1200.019061,1198.220955,1409.241306,309.9970501,1407.446449,NA,660.982906,849.6997389
2/1/2017,423.6829268,94.88284519,1207.204053,1199.384561,1408.629965,310.4119923,1406.988757,287.0827506,661.5420561,856.4124215
2/2/2017,423.4790503,74.00628931,1214.34216,1200.131183,1403.766713,311.1591343,1406.652228,293.1061693,662.538364,864.1949686
2/3/2017,423.3612273,65.64738676,1185.149025,1200.370684,1393.95961,312.000639,1406.063675,296.7265136,663.4680197,872.6708508
2/4/2017,423.1528262,48.84867503,1141.551604,1197.167728,1382.908014,312.8118622,1406.193708,301.6664345,664.4473846,885.7122905
2/5/2017,423,37.81228193,1186.761142,1192.569296,1387.786611,313.0018951,1406.004164,305.8935484,665.0971974,898.7039888
2/6/2017,133.756701,26.81361761,1118.810989,1188.619887,1391.784044,313.5812538,1406,309.3486616,665.986723,910.9196429
2/7/2017,1.088687151,13.95464061,1097.107768,1185.574621,1395.227875,314.0037712,1405.739526,314.2067039,666.5989078,919.2062718
2/8/2017,2.999304106,13.05501393,1089.781489,1181.419214,1349.925122,314.927665,1405.37561,319.2250871,667.6166354,930.475891
2/9/2017,4.672942817,14.13049546,1087.086074,1178.005204,1373.583694,315.0032744,1405.27871,323.8529617,668.1784098,948.3344948
2/10/2017,7.709002094,16.14076655,1086.200977,1181.368647,1371.331939,315.7695707,1405.0775,328.6150628,669.1113956,959.7965035
2/11/2017,9.776692254,32.42787456,1086.991643,1181.449574,1373.150523,316.2278558,1405.004692,333.5205289,669.9945978,966.224234
2/12/2017,11.88721805,62.54395192,1088.292701,1181.047955,1378.27894,317.045425,1405.002498,338.6032078,670.8736576,970.3242678
2/13/2017,13.53830084,91.72195122,1089.369338,1182.922909,1403.062718,317.0893536,1404.577491,343.0307048,671.14021,969.9665738
2/14/2017,15.15308989,106.512928,1087.642407,1187.923241,1405.402797,317.1492147,1403.123705,347.2898955,671.1142148,953.2248603
2/15/2017,16.98537604,134.584669,1087.04805,1191.787491,1400.885337,317.9749679,1402.490648,352.2606272,672.0133333,928.1569038
2/16/2017,18.8766384,162.8474576,1086.550232,1195.584119,1395.655119,318.3326693,1402.016255,357.1373457,672.9537869,647.9375482
2/17/2017,21.12237912,231.037116,1086.077811,1199.074074,1399.882277,319.1454261,1402.368722,363.200676,674.2912583,719.5978031
2/18/2017,22.65743306,253.0961627,1086.003716,1201.246262,1393.681818,319.9865169,1402.98798,366.9771898,675.0143305,738.4041875
2/19/2017,24.2128402,256.6274373,1085.963015,1198.445474,1401.004885,320,1402.997716,371.351049,675.7785467,760.3807854
2/20/2017,25.58377559,261.144697,1085.039334,1201.463467,1414.7106,320.2001472,1402.260226,375.6532033,675.2436548,776.4434358
2/21/2017,27.68960469,276.5729624,1085.001463,1205.187437,1406.825304,320.9981464,1401.96767,381.127556,676.1377504,782.604299
2/22/2017,29.60307477,291.8853948,1085,1207.815108,1408.328223,321.4368687,1401.188395,386.2576816,676.9096797,781.5467225
2/23/2017,31.1744066,341.2420021,1085.215757,1208.461538,1384.659454,321.9993848,1401,390.7111913,677.6043411,779.1926842
2/24/2017,32.45322245,87.68626431,1085.761731,1207.631291,1396.060417,322.0849228,1401,394.1911458,678.0749665,788.6710115
2/25/2017,37.88276343,5.295391061,1085.979079,1206.428264,1381.550139,322.900885,1401,398.3642708,678.9850622,801.4337517
2/26/2017,40.01810585,27.17074878,1085.995819,1202.240172,1397.132404,323.0778534,1400.962308,402.7486072,679.4452214,809.8211041
2/27/2017,41.97108067,94.87243736,1086,1202.657951,1390.866713,323.4089096,1400.681761,407.0848401,680.0782051,810.2766551
2/28/2017,43.90983051,236.2354138,1086,1203.182578,1390.262551,324.002401,1399.231926,411.5352782,680.9711765,807.6786441
3/1/2017,45.85216179,312.3686411,1086.021603,1198.841168,1371.949164,324.2102835,1400,415.866899,681.6910726,805.3695955
3/2/2017,47.81545961,331.541841,1086.564944,1194.44808,1396.049512,324.8506329,1399.945798,420.2114445,682.2462687,803.1715481
3/3/2017,49.5362117,333.0866527,1086.997209,1190.853852,1394.476955,325,1399.278852,424.4435146,683.0019405,801.5463415
3/4/2017,51.29547038,333.887108,1087.001394,1186.479121,1396.264624,325.181045,1399.016588,428.6418118,683.6484185,805.916318
3/5/2017,52.98069106,334.0213415,1087.490355,1183.298027,1398.436105,325.9765377,1399,432.377665,684.442734,806.7975585
3/6/2017,NA,NA,NA,NA,NA,326.3893443,1399,NA,685.2940013,NA
3/7/2017,57.33838384,335.0977254,1088.535805,1179.564626,1389.09375,326.9932141,1398.036227,441.7159505,686.0621891,813.539752
3/8/2017,58.87562904,335.0601719,1088.989263,1178.288447,1381.623116,327,1388.672897,445.6142558,686.9514808,817.7213687
