"","x"
"1","2018-06-26"
"2","2018-06-27"
"3","2018-06-28"
"4","2018-06-29"
"5","2018-06-30"
"6","2018-07-01"
"7","2018-07-02"
"8","2018-07-03"
"9","2018-07-04"
"10","2018-07-05"
"11","2018-07-06"
"12","2018-07-07"
"13","2018-07-08"
"14","2018-07-09"
"15","2018-07-10"
"16","2018-07-11"
"17","2018-07-12"
"18","2018-07-13"
"19","2018-07-14"
"20","2018-07-15"
"21","2018-07-16"
"22","2018-07-17"
"23","2018-07-18"
"24","2018-07-19"
"25","2018-07-20"
"26","2018-07-21"
"27","2018-07-22"
"28","2018-07-23"
"29","2018-07-24"
"30","2018-07-25"
"31","2018-07-26"
"32","2018-07-27"
"33","2018-07-28"
"34","2018-07-29"
"35","2018-07-30"
"36","2018-07-31"
"37","2018-08-01"
"38","2018-08-02"
"39","2018-08-03"
"40","2018-08-04"
"41","2018-08-05"
"42","2018-08-06"
"43","2018-08-07"
"44","2018-08-08"
"45","2018-08-09"
"46","2018-08-10"
"47","2018-08-11"
"48","2018-08-12"
"49","2018-08-13"
"50","2018-08-14"
"51","2018-08-15"
"52","2018-08-16"
"53","2018-08-17"
"54","2018-08-18"
"55","2018-08-19"
"56","2018-08-20"
"57","2018-08-21"
"58","2018-08-22"
"59","2018-08-23"
"60","2018-08-24"
"61","2018-08-25"
"62","2018-08-26"
"63","2018-08-27"
"64","2018-08-28"
"65","2018-08-29"
"66","2018-08-30"
"67","2018-08-31"
"68","2018-09-01"
"69","2018-09-02"
"70","2018-09-03"
"71","2018-09-04"
"72","2018-09-05"
"73","2018-09-06"
"74","2018-09-07"
"75","2018-09-08"
"76","2018-09-09"
"77","2018-09-10"
"78","2018-09-11"
"79","2018-09-12"
"80","2018-09-13"
"81","2018-09-14"
"82","2018-09-15"
"83","2018-09-16"
"84","2018-09-17"
"85","2018-09-18"
"86","2018-09-19"
"87","2018-09-20"
"88","2018-09-21"
"89","2018-09-22"
"90","2018-09-23"
"91","2018-09-24"
"92","2018-09-25"
"93","2018-09-26"
"94","2018-09-27"
"95","2018-09-28"
"96","2018-09-29"
"97","2018-09-30"
"98","2018-10-01"
"99","2018-10-02"
"100","2018-10-03"
"101","2018-10-04"
"102","2018-10-05"
"103","2018-10-06"
"104","2018-10-07"
"105","2018-10-08"
"106","2018-10-09"
"107","2018-10-10"
"108","2018-10-11"
"109","2018-10-12"
"110","2018-10-13"
"111","2018-10-14"
"112","2018-10-15"
"113","2018-10-16"
"114","2018-10-17"
"115","2018-10-18"
"116","2018-10-19"
"117","2018-10-20"
"118","2018-10-21"
"119","2018-10-22"
"120","2018-10-23"
"121","2018-10-24"
"122","2018-10-25"
"123","2018-10-26"
"124","2018-10-27"
"125","2018-10-28"
"126","2018-10-29"
"127","2018-10-30"
"128","2018-10-31"
"129","2018-11-01"
"130","2018-11-02"
"131","2018-11-03"
"132","2018-11-04"
"133","2018-11-05"
"134","2018-11-06"
"135","2018-11-07"
"136","2018-11-08"
"137","2018-11-09"
"138","2018-11-10"
"139","2018-11-11"
"140","2018-11-12"
"141","2018-11-13"
"142","2018-11-14"
"143","2018-11-15"
"144","2018-11-16"
"145","2018-11-17"
"146","2018-11-18"
"147","2018-11-19"
"148","2018-11-20"
"149","2018-11-21"
"150","2018-11-22"
"151","2018-11-23"
"152","2018-11-24"
"153","2018-11-25"
"154","2018-11-26"
"155","2018-11-27"
"156","2018-11-28"
"157","2018-11-29"
"158","2018-11-30"
"159","2018-12-01"
"160","2018-12-02"
"161","2018-12-03"
"162","2018-12-04"
"163","2018-12-05"
"164","2018-12-06"
"165","2018-12-07"
"166","2018-12-08"
"167","2018-12-09"
"168","2018-12-10"
"169","2018-12-11"
"170","2018-12-12"
"171","2018-12-13"
"172","2018-12-14"
"173","2018-12-15"
"174","2018-12-16"
"175","2018-12-17"
"176","2018-12-18"
"177","2018-12-19"
"178","2018-12-20"
"179","2018-12-21"
"180","2018-12-22"
"181","2018-12-23"
"182","2018-12-24"
"183","2018-12-25"
"184","2018-12-26"
"185","2018-12-27"
"186","2018-12-28"
"187","2018-12-29"
"188","2018-12-30"
"189","2018-12-31"
"190","2019-01-01"
"191","2019-01-02"
"192","2019-01-03"
"193","2019-01-04"
"194","2019-01-05"
"195","2019-01-06"
"196","2019-01-07"
"197","2019-01-08"
"198","2019-01-09"
"199","2019-01-10"
"200","2019-01-11"
"201","2019-01-12"
"202","2019-01-13"
"203","2019-01-14"
"204","2019-01-15"
"205","2019-01-16"
"206","2019-01-17"
"207","2019-01-18"
"208","2019-01-19"
"209","2019-01-20"
"210","2019-01-21"
"211","2019-01-22"
"212","2019-01-23"
"213","2019-01-24"
"214","2019-01-25"
"215","2019-01-26"
"216","2019-01-27"
"217","2019-01-28"
"218","2019-01-29"
"219","2019-01-30"
"220","2019-01-31"
"221","2019-02-01"
"222","2019-02-02"
"223","2019-02-03"
"224","2019-02-04"
"225","2019-02-05"
"226","2019-02-06"
"227","2019-02-07"
"228","2019-02-08"
"229","2019-02-09"
"230","2019-02-10"
"231","2019-02-11"
"232","2019-02-12"
"233","2019-02-13"
"234","2019-02-14"
"235","2019-02-15"
"236","2019-02-16"
"237","2019-02-17"
"238","2019-02-18"
"239","2019-02-19"
"240","2019-02-20"
"241","2019-02-21"
"242","2019-02-22"
"243","2019-02-23"
"244","2019-02-24"
"245","2019-02-25"
"246","2019-02-26"
"247","2019-02-27"
"248","2019-02-28"
"249","2019-03-01"
"250","2019-03-02"
"251","2019-03-03"
"252","2019-03-04"
"253","2019-03-05"
"254","2019-03-07"
"255","2019-03-08"
"256","2019-03-09"
"257","2019-03-10"
"258","2019-03-11"
"259","2019-03-12"
"260","2019-03-13"
"261","2019-03-14"
"262","2019-03-15"
"263","2019-03-16"
"264","2019-03-17"
"265","2019-03-18"
"266","2019-03-19"
"267","2019-03-20"
"268","2019-03-21"
"269","2019-03-22"
"270","2019-03-23"
"271","2019-03-24"
"272","2019-03-25"
"273","2019-03-26"
"274","2019-03-27"
"275","2019-03-28"
"276","2019-03-29"
"277","2019-03-30"
"278","2019-03-31"
"279","2019-04-01"
"280","2019-04-02"
"281","2019-04-03"
"282","2019-04-04"
